timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 07:00 UTC,,,,1.988e-11,273.19,44589,20.41
2025-10-13 08:00 UTC,,,,1.988e-11,273.19,44589,20.41
2025-10-13 09:00 UTC,,,,1.427e-11,232.8,32019,42.03
2025-10-13 10:00 UTC,,,,1.427e-11,232.8,32019,42.03
2025-10-13 11:00 UTC,,,,1.427e-11,232.8,32019,42.03
2025-10-13 12:00 UTC,,,,1.427e-11,232.8,32019,42.03
2025-10-13 15:00 UTC,,,,1.921e-11,267.83,43092,61.17
2025-10-13 16:00 UTC,,,,1.921e-11,267.83,43092,61.17
2025-10-13 17:00 UTC,,,,1.921e-11,267.83,43092,61.17
2025-10-13 18:00 UTC,,,,1.921e-11,267.83,43092,61.17
2025-10-13 19:00 UTC,,,,1.921e-11,267.83,43092,61.17
2025-10-13 21:00 UTC,,,,1.22e-11,217.45,27376,91.24
