timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 05:00 UTC,114722,92564127714,2286970345408,,,,0
2025-10-13 07:00 UTC,,,,115452.0072,1334072.88,2300751037041,5467992.77
2025-10-13 08:00 UTC,115344,93178379625,2299076193191,,,,0
2025-10-13 08:00 UTC,,,,115267.17,1333018.13,2297067716129,5543542.16
2025-10-13 09:00 UTC,115246,93496080931,2298225121467,,,,0
2025-10-13 10:00 UTC,115136,93396836703,2294902235274,,,,0
2025-10-13 10:00 UTC,,,,114865.53,1330646.18,2289063599986,5621691.67
2025-10-13 11:00 UTC,114492,94946337134,2286150762783,,,,0
2025-10-13 12:00 UTC,114103,95143735207,2274120403262,,,,0
2025-10-13 13:00 UTC,114603,96461849776,2282229079581,,,,0
2025-10-13 13:00 UTC,,,,115355.026,1331479.35,2298818385929,6041914.45
2025-10-13 14:00 UTC,115403,97403136569,2299816859766,,,,0
2025-10-13 14:00 UTC,,,,114154.18,1323993.87,2274887863945,6480438.99
2025-10-13 15:00 UTC,114291,95378490251,2274646759473,,,,0
2025-10-13 15:00 UTC,,,,114546.022,1326542.45,2282696389483,5992458.76
2025-10-13 16:00 UTC,114607,88683949483,2282923885071,,,,0
2025-10-13 17:00 UTC,114805,83703484499,2286891451740,,,,0
2025-10-13 18:00 UTC,114997,80562231419,2293299742309,,,,0
2025-10-13 18:00 UTC,,,,115298.79,1331169.21,2297697850004,5552279.96
2025-10-13 19:00 UTC,115194,80551386899,2296278627500,,,,0
2025-10-13 20:00 UTC,115912,81629550970,2309410302454,,,,0
2025-10-13 20:00 UTC,,,,115601.81,1332926.36,2303736359422,5242088.71
2025-10-13 21:00 UTC,115723,78443418944,2308738184467,,,,0
2025-10-13 21:00 UTC,,,,115704.53,1333511.22,2305783559542,4907976.16
2025-10-13 22:00 UTC,115922,74520165364,2308579350349,,,,0
2025-10-13 22:00 UTC,115661,72991857593,2306309182480,,,,0
2025-10-14 00:00 UTC,115247,69363377348,2296565930448,,,,0
