timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 07:00 UTC,,,,0.001487,249772.85,1487313,599053.24
2025-10-13 08:00 UTC,,,,0.001566,255600.9,1566552,592238.63
2025-10-13 09:00 UTC,,,,0.001602,258329.41,1602034,588567.67
2025-10-13 10:00 UTC,,,,0.001375,238947.65,1375317,582146.77
2025-10-13 11:00 UTC,,,,0.001309,231556.91,1309904,558055.14
2025-10-13 12:00 UTC,,,,0.001306,230833.69,1306254,529523.14
2025-10-13 13:00 UTC,,,,0.001343,233452.02,1343034,497936.93
2025-10-13 16:00 UTC,,,,0.001373,239045.45,1373829,440045.14
2025-10-13 17:00 UTC,,,,0.001415,245592.45,1415171,419276.79
2025-10-13 19:00 UTC,,,,0.001594,264271.07,1594461,359351.33
2025-10-13 20:00 UTC,,,,0.001476,254425.29,1476252,371855.53
2025-10-13 21:00 UTC,,,,0.001441,252048.85,1441641,375984.36
2025-10-13 22:00 UTC,,,,0.001443,252410.72,1443540,365181.61
