timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 08:00 UTC,,,,9.483e-05,132358.43,948339,21693.8
2025-10-13 09:00 UTC,,,,9.549e-05,133261.42,954978,21887.67
2025-10-13 10:00 UTC,,,,9.541e-05,133124.63,954190,21841.05
2025-10-13 11:00 UTC,,,,2.034e-05,,20342.04,74162.48
2025-10-13 12:00 UTC,,,,2.096e-05,,20961.42,75438.59
2025-10-13 13:00 UTC,,,,9.98e-05,135383.84,998086,21911.54
2025-10-13 14:00 UTC,,,,2.163e-05,,21630.07,69815.91
2025-10-13 15:00 UTC,,,,0.0001008,136288.09,1008783,19216.15
2025-10-13 16:00 UTC,,,,1.917e-05,,19175.37,66510.02
2025-10-13 17:00 UTC,,,,0.0001022,138002.53,1022581,17702.91
2025-10-13 18:00 UTC,,,,0.0001047,141332.58,1047753,17717.68
2025-10-13 19:00 UTC,,,,0.0001056,142131.05,1056799,17705.92
2025-10-13 20:00 UTC,,,,0.0001079,145182.78,1079824,16226.5
2025-10-13 22:00 UTC,,,,0.0001114,147118.91,1114752,12063.78
