timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 08:00 UTC,,,,2.397e-06,24242.87,124790,725.42
2025-10-13 09:00 UTC,,,,2.397e-06,24242.87,124790,360.7
2025-10-13 10:00 UTC,,,,2.396e-06,24237.88,124739,357.75
2025-10-13 11:00 UTC,,,,2.396e-06,24232.95,124688,360.22
2025-10-13 12:00 UTC,,,,2.396e-06,24232.95,124688,357.37
2025-10-13 13:00 UTC,,,,2.395e-06,24228.11,124638,296.45
2025-10-13 16:00 UTC,,,,2.393e-06,24222.76,124583,291.29
2025-10-13 17:00 UTC,,,,2.393e-06,24222.76,124583,290.95
2025-10-13 19:00 UTC,,,,2.393e-06,24222.76,124583,290.95
2025-10-13 20:00 UTC,,,,2.393e-06,24222.76,124583,245.28
2025-10-13 21:00 UTC,,,,2.393e-06,24222.76,124583,242.62
