timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 08:00 UTC,,,,0.001561,369347.5,1560373,199524.95
2025-10-13 09:00 UTC,,,,0.001456,356575.78,1455849,203958.68
2025-10-13 10:00 UTC,,,,0.001479,358399.65,1478378,203208.9
2025-10-13 11:00 UTC,,,,2.535e-05,,25356.08,88476.52
2025-10-13 12:00 UTC,,,,2.478e-05,,24789.39,126009.72
2025-10-13 13:00 UTC,,,,1.49e-05,,14902.98,133333.06
2025-10-13 14:00 UTC,,,,0.0005063,86735.12,506380,1331247.3
2025-10-13 15:00 UTC,,,,0.0005639,104821.08,563913,2258967.91
2025-10-13 16:00 UTC,,,,0.0005081,99950.8,508156,2325223.14
2025-10-13 17:00 UTC,,,,0.0005703,105962.45,570354,2351082.16
2025-10-13 18:00 UTC,,,,0.0004863,97618.45,486338,2369198.59
2025-10-13 19:00 UTC,,,,0.0004501,93999.73,450123,2373432.23
2025-10-13 20:00 UTC,,,,0.0003378,81497.59,337836,2381220.69
2025-10-13 22:00 UTC,,,,0.0003814,87324.35,381488,2384877.36
