timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 05:00 UTC,,,,0.0002391,72530.81,239090,397823.92
2025-10-13 08:00 UTC,,,,0.0005712,113156.69,571230,520818.82
2025-10-13 09:00 UTC,,,,0.0006199,118493.12,619869,550759.99
2025-10-13 10:00 UTC,,,,0.0005705,113316.58,570513,588113.04
2025-10-13 11:00 UTC,,,,0.0004627,101700.07,462705,629935.19
2025-10-13 12:00 UTC,,,,0.0005152,106669.24,515233,650354.52
2025-10-13 13:00 UTC,,,,0.0006459,119634.55,645951,692767.23
2025-10-13 14:00 UTC,,,,0.0007616,131481.11,761557,744356.78
2025-10-13 15:00 UTC,,,,0.0006469,120655.41,646898,783951.06
2025-10-13 16:00 UTC,,,,0.0005797,115025.99,579764,798278.22
2025-10-13 17:00 UTC,,,,0.0005752,116118.61,575265,818945.9
2025-10-13 18:00 UTC,,,,0.0005564,114981.72,556380,842466.18
2025-10-13 19:00 UTC,,,,0.0005255,112249.19,525543,837211.16
2025-10-13 20:00 UTC,,,,0.0005543,115739.85,554318,845064.92
2025-10-13 21:00 UTC,,,,0.0004434,103813.32,443468,875251.68
2025-10-13 22:00 UTC,,,,0.0004735,107531.86,473487,878800.99
2025-10-13 22:00 UTC,,,,0.000507,110932.42,506976,882006.9
2025-10-14 00:00 UTC,,,,0.0004444,104026.76,444416,910267.01
