timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 07:00 UTC,,,,0.0004492,144749.6,449253,20171.28
2025-10-13 08:00 UTC,,,,0.0004576,146823.98,457601,20692.68
2025-10-13 09:00 UTC,,,,0.00046,146595.44,460040,20334.71
2025-10-13 11:00 UTC,,,,1.213e-05,,12137.61,192.28
2025-10-13 13:00 UTC,,,,0.0005958,165824.19,595807,40992.61
2025-10-13 14:00 UTC,,,,0.0005879,164325.11,587889,40083.99
2025-10-13 15:00 UTC,,,,0.0006007,167532.87,600760,39413.22
2025-10-13 16:00 UTC,,,,0.0006166,170630.43,616678,37283.61
2025-10-13 18:00 UTC,,,,,,,
2025-10-13 19:00 UTC,,,,0.0006962,185778.22,696184,39864.24
2025-10-13 20:00 UTC,,,,0.0006636,180908.36,663583,39244.08
2025-10-13 21:00 UTC,,,,0.0006729,182262.15,672923,38730.21
