timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 05:00 UTC,,,,0.0005501,119630.67,550058,168096.94
2025-10-13 08:00 UTC,,,,0.0005528,120669.42,552822,168819.17
2025-10-13 09:00 UTC,,,,0.0006226,128595.63,622590,172566.19
2025-10-13 10:00 UTC,,,,0.0006024,126156.06,602384,172645.34
2025-10-13 11:00 UTC,,,,1.09e-05,,10905.69,24591.72
2025-10-13 12:00 UTC,,,,0.0005212,116084.62,521177,181937.96
2025-10-13 13:00 UTC,,,,0.0005352,117622.97,535232,182908.14
2025-10-13 14:00 UTC,,,,0.0006257,128239.16,625674,187989.94
2025-10-13 15:00 UTC,,,,0.0006539,130708.96,653842,200818
2025-10-13 16:00 UTC,,,,0.0007726,142892.56,772610,212764.92
2025-10-13 17:00 UTC,,,,0.0006876,136790.96,687593,234295.6
2025-10-13 18:00 UTC,,,,0.000734,142164.57,734022,243174.29
2025-10-13 19:00 UTC,,,,0.0007014,139400.99,701423,200769.57
2025-10-13 20:00 UTC,,,,0.0006732,137138.73,673190,167058.39
2025-10-13 21:00 UTC,,,,0.0006951,139742.41,695106,155802.68
2025-10-13 22:00 UTC,,,,0.0006126,131288.28,612600,157096.68
2025-10-13 22:00 UTC,,,,0.0005955,129257.18,595481,157116.24
2025-10-14 00:00 UTC,,,,0.0005927,129102.87,592699,156500.95
