timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 07:00 UTC,,,,0.000537,114855.44,536818,201297.28
2025-10-13 08:00 UTC,,,,0.0005383,114720.59,538144,178768.13
2025-10-13 09:00 UTC,,,,0.0005111,111685.23,510983,176469.96
2025-10-13 10:00 UTC,,,,0.0005291,113394.68,528986,167562.47
2025-10-13 11:00 UTC,,,,0.0005406,113955.87,540417,164145.27
2025-10-13 12:00 UTC,,,,0.0005124,110720.48,512250,159464.66
2025-10-13 13:00 UTC,,,,0.0004843,107301.94,484148,159147.73
2025-10-13 16:00 UTC,,,,0.0004752,107646.74,475132,147222.31
2025-10-13 17:00 UTC,,,,0.0004761,109053.32,475989,137709.89
2025-10-13 19:00 UTC,,,,0.0004836,111358.34,483464,132109.36
2025-10-13 20:00 UTC,,,,0.0004837,111578.73,483593,133165.59
2025-10-13 21:00 UTC,,,,0.0005269,116757.92,526758,128661.93
2025-10-13 22:00 UTC,,,,0.0005851,123052.47,584960,135997.94
