timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 07:00 UTC,,,,0.0001604,,160468.4,83913.98
2025-10-13 08:00 UTC,,,,0.0005427,279050.2,542738,21852.36
2025-10-13 09:00 UTC,,,,0.0005417,278842.84,541762,21999.29
2025-10-13 10:00 UTC,,,,0.0001571,,157132.56,86621.93
2025-10-13 11:00 UTC,,,,0.0005236,273561.7,523677,24195.51
2025-10-13 12:00 UTC,,,,0.0005236,273503.54,523618,21363.1
2025-10-13 15:00 UTC,,,,0.0005256,274294.06,525665,19464.48
2025-10-13 16:00 UTC,,,,0.0001501,,150182.17,29798.57
2025-10-13 17:00 UTC,,,,0.0005256,274294.06,525665,5723.48
2025-10-13 18:00 UTC,,,,0.000152,,152031.76,29531.34
2025-10-13 19:00 UTC,,,,0.0005273,275039.07,527377,5797.61
2025-10-13 21:00 UTC,,,,0.0005291,276094.98,529136,5564.7
