timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 05:00 UTC,,,,0.0001003,40318.42,100359,32466.16
2025-10-13 08:00 UTC,,,,0.0001007,40644.55,100697,32303
2025-10-13 09:00 UTC,,,,0.0001004,40762.41,100456,32201.21
2025-10-13 10:00 UTC,,,,9.979e-05,40507.72,99784,31405.64
2025-10-13 11:00 UTC,,,,9.85e-05,40105.49,98492,31377.66
2025-10-13 12:00 UTC,,,,2.152e-05,,21523.53,53649.25
2025-10-13 13:00 UTC,,,,9.539e-05,39175.54,95385,31300.42
2025-10-13 14:00 UTC,,,,,,,
2025-10-13 15:00 UTC,,,,0.0001689,52433.49,168921,45235.85
2025-10-13 16:00 UTC,,,,0.0002088,58670.37,208863,50081.06
2025-10-13 17:00 UTC,,,,0.0002336,62963.06,233592,77036.68
2025-10-13 18:00 UTC,,,,0.0002643,67423.15,264313,98658.77
2025-10-13 19:00 UTC,,,,0.0002441,65059.38,244135,116182.67
2025-10-13 20:00 UTC,,,,0.0002387,64580.44,238749,128072.13
2025-10-13 21:00 UTC,,,,0.0002398,64884.69,239836,138679.79
2025-10-13 22:00 UTC,,,,0.000249,66228.61,249021,147471.51
2025-10-13 22:00 UTC,,,,0.000326,75641.16,326027,153958.4
2025-10-14 00:00 UTC,,,,0.0005559,99063.26,555886,222449.43
