timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-13 07:00 UTC,,,,0.0007573,122033.25,757307,284742.66
2025-10-13 08:00 UTC,,,,0.0007545,122318.41,754595,281856.52
2025-10-13 09:00 UTC,,,,0.000733,120684.34,733027,282417.71
2025-10-13 10:00 UTC,,,,0.0006885,115170.78,688520,281106.66
2025-10-13 11:00 UTC,,,,0.0005618,102832.99,561802,288395.37
2025-10-13 12:00 UTC,,,,0.0005831,104890.48,583178,276984.08
2025-10-13 15:00 UTC,,,,0.000619,107270.6,619047,275739.05
2025-10-13 16:00 UTC,,,,0.0007083,115253.75,708394,279116.68
2025-10-13 17:00 UTC,,,,0.000729,116614.09,729001,278755.33
2025-10-13 18:00 UTC,,,,0.000689,113492.79,689015,272923.7
2025-10-13 19:00 UTC,,,,0.0006498,110123.17,649869,261372.47
2025-10-13 21:00 UTC,,,,1.98e-05,,19805.96,292884.93
